Country,Fueltype,DateOut,Name,status,Reference
FR,Nuclear,2040,Gravelines,extend,"Emmanuel Macron 2022 https://www.reuters.com/business/energy/macron-bets-nuclear-carbon-neutrality-push-announces-new-reactors-2022-02-10/"
FR,Nuclear,2050,Golfech,extend,"Emmanuel Macron 2022 https://www.reuters.com/business/energy/macron-bets-nuclear-carbon-neutrality-push-announces-new-reactors-2022-02-10/"
FR,Nuclear,2045,Flamanville,extend,"Emmanuel Macron 2022 https://www.reuters.com/business/energy/macron-bets-nuclear-carbon-neutrality-push-announces-new-reactors-2022-02-10/"
FR,Nuclear,2047,Belleville,extend,"Emmanuel Macron 2022 https://www.reuters.com/business/energy/macron-bets-nuclear-carbon-neutrality-push-announces-new-reactors-2022-02-10/"
FR,Nuclear,2041,Blayais,extend,"Emmanuel Macron 2022 https://www.reuters.com/business/energy/macron-bets-nuclear-carbon-neutrality-push-announces-new-reactors-2022-02-10/"
FR,Nuclear,2032,Bugey,extend,"Emmanuel Macron 2022 https://www.reuters.com/business/energy/macron-bets-nuclear-carbon-neutrality-push-announces-new-reactors-2022-02-10/"
FR,Nuclear,2038,Cattenom,extend,"Emmanuel Macron 2022 https://www.reuters.com/business/energy/macron-bets-nuclear-carbon-neutrality-push-announces-new-reactors-2022-02-10/"
FR,Nuclear,2023,Chinon,extend,"Emmanuel Macron 2022 https://www.reuters.com/business/energy/macron-bets-nuclear-carbon-neutrality-push-announces-new-reactors-2022-02-10/"
FR,Nuclear,2027,Chooz,extend,"Emmanuel Macron 2022 https://www.reuters.com/business/energy/macron-bets-nuclear-carbon-neutrality-push-announces-new-reactors-2022-02-10/"
FR,Nuclear,2057,Civaux,extend,"Emmanuel Macron 2022 https://www.reuters.com/business/energy/macron-bets-nuclear-carbon-neutrality-push-announces-new-reactors-2022-02-10/"
FR,Nuclear,2043,Cruas,extend,"Emmanuel Macron 2022 https://www.reuters.com/business/energy/macron-bets-nuclear-carbon-neutrality-push-announces-new-reactors-2022-02-10/"
FR,Nuclear,2040,Dampierre,extend,"Emmanuel Macron 2022 https://www.reuters.com/business/energy/macron-bets-nuclear-carbon-neutrality-push-announces-new-reactors-2022-02-10/"
FR,Nuclear,2047,Nogent,extend,"Emmanuel Macron 2022 https://www.reuters.com/business/energy/macron-bets-nuclear-carbon-neutrality-push-announces-new-reactors-2022-02-10/"
BE,Nuclear,2035,Doel,extend,"https://www.reuters.com/business/energy/belgium-engie-reach-deal-extension-nuclear-reactors-energy-minister-2023-12-04/"
BE,Nuclear,2035,Tihange,extend,"https://www.reuters.com/business/energy/belgium-engie-reach-deal-extension-nuclear-reactors-energy-minister-2023-12-04/"
