,Import,marginal_cost_2020,marginal_cost_2025,marginal_cost_2030,marginal_cost_2035,marginal_cost_2040,marginal_cost_2045,marginal_cost_2050,Unit_marginal_cost,capital_cost,Unit_capital_cost,note
0,pipeline-H2,124,112,97,87,76,74,71,Euro_per_MWh,2688,Euro_per_MW,marginal costs from https://onlinelibrary.wiley.com/doi/full/10.1002/ente.202300981#ente202300981-bib-0037 and capital cost is difference between retrofit and gas pipeline with 100km length
1,LH2,,,143,138,132,127,121,Euro_per_MWh,8421.6,Euro_per_MW,marginal cost from https://www.sciencedirect.com/science/article/pii/S0360319923030847?via%3Dihub#appsec1 and capital cost from https://github.com/PyPSA/pypsa-eur/pull/620/files#diff-d838d3f5e300ee6371584a10781b96424387d2186d355c6cf601433ac3e189cb
2,LOHC,,,96,91,86,81,76,Euro_per_MWh,8421.6,Euro_per_MW,marginal cost from https://www.sciencedirect.com/science/article/pii/S0360319923030847?via%3Dihub#appsec1 and capital cost from https://github.com/PyPSA/pypsa-eur/pull/620/files#diff-d838d3f5e300ee6371584a10781b96424387d2186d355c6cf601433ac3e189cb
3,Ammonia,,,99,87,75,74,73,Euro_per_MWh,8421.6,Euro_per_MW,marginal cost from https://www.sciencedirect.com/science/article/pii/S0360319923030847?via%3Dihub#appsec1 and capital cost from https://github.com/PyPSA/pypsa-eur/pull/620/files#diff-d838d3f5e300ee6371584a10781b96424387d2186d355c6cf601433ac3e189cb
4,pipeline-syngas,,,163,154,144,134,124,Euro_per_MWh,0,Euro_per_MW,marginal cost from https://www.sciencedirect.com/science/article/pii/S0360319923030847?via%3Dihub#appsec1
5,shipping-syngas,,,163,154,144,134,124,Euro_per_MWh,0,Euro_per_MW,marginal cost from https://www.sciencedirect.com/science/article/pii/S0360319923030847?via%3Dihub#appsec1 and capital cost from https://github.com/PyPSA/pypsa-eur/pull/620/files#diff-d838d3f5e300ee6371584a10781b96424387d2186d355c6cf601433ac3e189cb
5,synfuel,,,161,152,143,134,124,Euro_per_MWh,0,Euro_per_MW,marginal cost from https://www.sciencedirect.com/science/article/pii/S0360319923030847?via%3Dihub#appsec1
