,bus,Hydrogen Derivate,p_nom,note,tech,shipping_idx,marginal_cost,capital_cost
0,BE1 0,AmmoniaAmmonia,23000.0,Zeebrugge New Molecules development: (Min 2.000 m3/h mit LHV 20.8MJ/l) (https://www.wasserstoff-leitprojekte.de/lw_resource/datapool/systemfiles/cbox/2662/live/lw_datei/transhyde_kurzanalyse_h2-beschleunigungsg.pdf) - Amplifhy Antwerp: (Min 2.000 m3/h mit LHV 20.8MJ/l) (https://www.wasserstoff-leitprojekte.de/lw_resource/datapool/systemfiles/cbox/2662/live/lw_datei/transhyde_kurzanalyse_h2-beschleunigungsg.pdf) - ,shipping-H2,new,74,8421.6
1,DE1 1,AmmoniaLH2LOHC,34500.0,Ammonia Import Temrminal Brunsbuttel : (Min 2.000 m3/h mit LHV 20.8MJ/l) (https://www.wasserstoff-leitprojekte.de/lw_resource/datapool/systemfiles/cbox/2662/live/lw_datei/transhyde_kurzanalyse_h2-beschleunigungsg.pdf) - Hydrogen Imports to Hamburg: (Min 2.000 m3/h mit LHV 20.8MJ/l) (https://www.wasserstoff-leitprojekte.de/lw_resource/datapool/systemfiles/cbox/2662/live/lw_datei/transhyde_kurzanalyse_h2-beschleunigungsg.pdf) - TransHyDE: (Min 2.000 m3/h mit LHV 20.8MJ/l) (https://www.wasserstoff-leitprojekte.de/lw_resource/datapool/systemfiles/cbox/2662/live/lw_datei/transhyde_kurzanalyse_h2-beschleunigungsg.pdf) - ,shipping-H2,new,74,8421.6
2,DE1 3,AmmoniaHydrogen Derivates,23000.0,Green Wilhelmshaven Terminal/Storage/Cracker: (Min 2.000 m3/h mit LHV 20.8MJ/l) (https://www.wasserstoff-leitprojekte.de/lw_resource/datapool/systemfiles/cbox/2662/live/lw_datei/transhyde_kurzanalyse_h2-beschleunigungsg.pdf) - bp Wilhelmshaven Green Hydrogen Hub: (Min 2.000 m3/h mit LHV 20.8MJ/l) (https://www.wasserstoff-leitprojekte.de/lw_resource/datapool/systemfiles/cbox/2662/live/lw_datei/transhyde_kurzanalyse_h2-beschleunigungsg.pdf) - ,shipping-H2,new,74,8421.6
3,ES1 1,0,16897.61759922354,Pipeline Spanien: p_nom=existing gas_pipeline*0.7 - ,pipeline-H2,,74,2688.0
4,FR1 0,"Pure H2 and ammoniaAmmonia, methanol or LOHC",23000.0,Green P(Hy)sics: (Min 2.000 m3/h mit LHV 20.8MJ/l) (https://www.wasserstoff-leitprojekte.de/lw_resource/datapool/systemfiles/cbox/2662/live/lw_datei/transhyde_kurzanalyse_h2-beschleunigungsg.pdf) - Mediterranean Hydrogen Gateway: (Min 2.000 m3/h mit LHV 20.8MJ/l) (https://www.wasserstoff-leitprojekte.de/lw_resource/datapool/systemfiles/cbox/2662/live/lw_datei/transhyde_kurzanalyse_h2-beschleunigungsg.pdf) - ,shipping-H2,new,74,8421.6
5,FR1 2,Ammonia,11500.0,Dunkerque New Molecules development: (Min 2.000 m3/h mit LHV 20.8MJ/l) (https://www.wasserstoff-leitprojekte.de/lw_resource/datapool/systemfiles/cbox/2662/live/lw_datei/transhyde_kurzanalyse_h2-beschleunigungsg.pdf) - ,shipping-H2,new,74,8421.6
6,IE5 0,Ammonia,11500.0,Green Atlantic @Moneypoint: (Min 2.000 m3/h mit LHV 20.8MJ/l) (https://www.wasserstoff-leitprojekte.de/lw_resource/datapool/systemfiles/cbox/2662/live/lw_datei/transhyde_kurzanalyse_h2-beschleunigungsg.pdf) - ,shipping-H2,new,74,8421.6
7,IT1 2,0,36721.19959618056,Pipeline Italien: p_nom=existing gas_pipeline*0.6 - ,pipeline-H2,,74,2688.0
8,NL1 1,"Hydrogen, ammonia or LOHCAmmoniaLOHCHydrogen DerivatesHydrogen DerivatesLH2Hydrogen Derivates",92000.0,North Sea Port: (Min 2.000 m3/h mit LHV 20.8MJ/l) (https://www.wasserstoff-leitprojekte.de/lw_resource/datapool/systemfiles/cbox/2662/live/lw_datei/transhyde_kurzanalyse_h2-beschleunigungsg.pdf) - Antwerp NH3 Import Terminal: (Min 2.000 m3/h mit LHV 20.8MJ/l) (https://www.wasserstoff-leitprojekte.de/lw_resource/datapool/systemfiles/cbox/2662/live/lw_datei/transhyde_kurzanalyse_h2-beschleunigungsg.pdf) - IPCEI Northern Green Crane: (Min 2.000 m3/h mit LHV 20.8MJ/l) (https://www.wasserstoff-leitprojekte.de/lw_resource/datapool/systemfiles/cbox/2662/live/lw_datei/transhyde_kurzanalyse_h2-beschleunigungsg.pdf) - Project Helios: (Min 2.000 m3/h mit LHV 20.8MJ/l) (https://www.wasserstoff-leitprojekte.de/lw_resource/datapool/systemfiles/cbox/2662/live/lw_datei/transhyde_kurzanalyse_h2-beschleunigungsg.pdf) - Amplifhy Rotterdam: (Min 2.000 m3/h mit LHV 20.8MJ/l) (https://www.wasserstoff-leitprojekte.de/lw_resource/datapool/systemfiles/cbox/2662/live/lw_datei/transhyde_kurzanalyse_h2-beschleunigungsg.pdf) - PoR import portfolio programm: (Min 2.000 m3/h mit LHV 20.8MJ/l) (https://www.wasserstoff-leitprojekte.de/lw_resource/datapool/systemfiles/cbox/2662/live/lw_datei/transhyde_kurzanalyse_h2-beschleunigungsg.pdf) - ACE Terminal: (Min 2.000 m3/h mit LHV 20.8MJ/l) (https://www.wasserstoff-leitprojekte.de/lw_resource/datapool/systemfiles/cbox/2662/live/lw_datei/transhyde_kurzanalyse_h2-beschleunigungsg.pdf) - Artificial Modular Reef: (Min 2.000 m3/h mit LHV 20.8MJ/l) (https://www.wasserstoff-leitprojekte.de/lw_resource/datapool/systemfiles/cbox/2662/live/lw_datei/transhyde_kurzanalyse_h2-beschleunigungsg.pdf) - ,shipping-H2,new,74,8421.6
9,PL1 0,LH2,11500.0,H2 Energy Terminals: (Min 2.000 m3/h mit LHV 20.8MJ/l) (https://www.wasserstoff-leitprojekte.de/lw_resource/datapool/systemfiles/cbox/2662/live/lw_datei/transhyde_kurzanalyse_h2-beschleunigungsg.pdf) - ,shipping-H2,new,127,8421.6
