,bus,Hydrogen Derivate,p_nom,note,tech,shipping_idx,marginal_cost,capital_cost
10,PT1 0,LH2,11500.0,H2Sines.Rdam: (Min 2.000 m3/h mit LHV 20.8MJ/l) (https://www.wasserstoff-leitprojekte.de/lw_resource/datapool/systemfiles/cbox/2662/live/lw_datei/transhyde_kurzanalyse_h2-beschleunigungsg.pdf) - ,shipping-H2,new,127,8421.6
11,BE1 0,,18782.82854635573,,pipeline-syngas,,134,0.0
12,BG1 0,,17204.763033239775,,pipeline-syngas,,134,0.0
13,DE1 3,,85088.52267915697,,pipeline-syngas,,134,0.0
14,ES1 1,,28162.69599870591,,pipeline-syngas,,134,0.0
15,FR1 2,,21938.959572587628,,pipeline-syngas,,134,0.0
16,GB0 0,,30533.64320865573,,pipeline-syngas,,134,0.0
17,GB0 2,,27165.82046724973,,pipeline-syngas,,134,0.0
18,GR1 0,,1870.5849740837875,,pipeline-syngas,,134,0.0
19,HU1 0,,26811.71796186762,,pipeline-syngas,,134,0.0
20,IT1 2,,61201.99932696769,,pipeline-syngas,,134,0.0
21,LT6 0,,16919.94145282372,,pipeline-syngas,,134,0.0
22,PL1 0,,12289.666300924964,,pipeline-syngas,,134,0.0
23,RO1 0,,47422.793139272304,,pipeline-syngas,,134,0.0
24,SK1 0,,94068.10034281432,,pipeline-syngas,,134,0.0
25,BE1 0,,20780.2224,,shipping-syngas,,134,0.0
26,DE1 1,,19394.87424,,shipping-syngas,,134,0.0
27,DE1 3,,50334.31648,,shipping-syngas,,134,0.0
28,DE1 7,,6069.14432,,shipping-syngas,,134,0.0
29,DK1 0,,82.4612,,shipping-syngas,,134,0.0
30,EE6 0,,7487.47696,,shipping-syngas,,134,0.0
31,ES1 0,,26766.90552,,shipping-syngas,,134,0.0
32,ES1 2,,45683.5048,,shipping-syngas,,134,0.0
33,FI2 0,,7058.67872,,shipping-syngas,,134,0.0
34,FR1 1,,21984.15592,,shipping-syngas,,134,0.0
35,FR1 2,,25200.14272,,shipping-syngas,,134,0.0
36,FR1 4,,16228.36416,,shipping-syngas,,134,0.0
37,GB0 0,,29850.9544,,shipping-syngas,,134,0.0
38,GB0 1,,25398.0496,,shipping-syngas,,134,0.0
39,GB0 2,,12220.74984,,shipping-syngas,,134,0.0
40,GR1 0,,41659.39824,,shipping-syngas,,134,0.0
41,IE5 0,,13160.807519999998,,shipping-syngas,,134,0.0
42,IT1 1,,4123.06,,shipping-syngas,,134,0.0
43,IT1 2,,24243.5928,,shipping-syngas,,134,0.0
44,IT1 3,,30345.7216,,shipping-syngas,,134,0.0
45,IT3 0,,6398.98912,,shipping-syngas,,134,0.0
46,LT6 0,,4782.7496,,shipping-syngas,,134,0.0
47,LV6 0,,4947.672,,shipping-syngas,,134,0.0
48,ME1 0,,659.6896,,shipping-syngas,,134,0.0
49,NL1 0,,9697.43712,,shipping-syngas,,134,0.0
50,NL1 1,,30312.73712,,shipping-syngas,,134,0.0
51,NO2 0,,8509.99584,,shipping-syngas,,134,0.0
52,PL1 2,,14793.53928,,shipping-syngas,,134,0.0
53,PL1 4,,10093.25088,,shipping-syngas,,134,0.0
54,PT1 0,,9235.6544,,shipping-syngas,,134,0.0
55,RO1 0,,9895.344,,shipping-syngas,,134,0.0
56,SE2 0,,1319.3792,,shipping-syngas,,134,0.0
57,BE1 0,,20780.2224,,shipping-H2,retrofitted,127,8421.6
58,DE1 1,,19394.87424,,shipping-H2,retrofitted,127,8421.6
59,DE1 3,,50334.31648,,shipping-H2,retrofitted,127,8421.6
60,DE1 7,,6069.14432,,shipping-H2,retrofitted,127,8421.6
61,DK1 0,,82.4612,,shipping-H2,retrofitted,127,8421.6
62,EE6 0,,7487.47696,,shipping-H2,retrofitted,127,8421.6
63,ES1 0,,26766.90552,,shipping-H2,retrofitted,127,8421.6
64,ES1 2,,45683.5048,,shipping-H2,retrofitted,127,8421.6
65,FI2 0,,7058.67872,,shipping-H2,retrofitted,127,8421.6
66,FR1 1,,21984.15592,,shipping-H2,retrofitted,127,8421.6
67,FR1 2,,25200.14272,,shipping-H2,retrofitted,127,8421.6
68,FR1 4,,16228.36416,,shipping-H2,retrofitted,127,8421.6
69,GB0 0,,29850.9544,,shipping-H2,retrofitted,127,8421.6
70,GB0 1,,25398.0496,,shipping-H2,retrofitted,127,8421.6
71,GB0 2,,12220.74984,,shipping-H2,retrofitted,127,8421.6
72,GR1 0,,41659.39824,,shipping-H2,retrofitted,127,8421.6
73,IE5 0,,13160.807519999998,,shipping-H2,retrofitted,127,8421.6
74,IT1 1,,4123.06,,shipping-H2,retrofitted,127,8421.6
75,IT1 2,,24243.5928,,shipping-H2,retrofitted,127,8421.6
76,IT1 3,,30345.7216,,shipping-H2,retrofitted,127,8421.6
77,IT3 0,,6398.98912,,shipping-H2,retrofitted,127,8421.6
78,LT6 0,,4782.7496,,shipping-H2,retrofitted,127,8421.6
79,LV6 0,,4947.672,,shipping-H2,retrofitted,127,8421.6
80,ME1 0,,659.6896,,shipping-H2,retrofitted,127,8421.6
81,NL1 0,,9697.43712,,shipping-H2,retrofitted,127,8421.6
82,NL1 1,,30312.73712,,shipping-H2,retrofitted,127,8421.6
83,NO2 0,,8509.99584,,shipping-H2,retrofitted,127,8421.6
84,PL1 2,,14793.53928,,shipping-H2,retrofitted,127,8421.6
85,PL1 4,,10093.25088,,shipping-H2,retrofitted,127,8421.6
86,PT1 0,,9235.6544,,shipping-H2,retrofitted,127,8421.6
87,RO1 0,,9895.344,,shipping-H2,retrofitted,127,8421.6
88,SE2 0,,1319.3792,,shipping-H2,retrofitted,127,8421.6
89,EU,,inf,,synfuel,,134,0.0
