Name,Converterstation 1,Converterstation 2,Commissioning Year,Length (given) (km),Power (MW),status,x1,y1,x2,y2,replaces,Length (distance*1.2) (km),Ref
Hansa PowerBridge I,Hurva (SE4),Guestrow (DE),2026,300.0,700,in permitting,13.43333,55.8,12.1759661,53.7936523,,284.63789135914953,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission
EuroAsia Interconnector,Hadera Site,Kofinou Site,2026,325.0,1040,in permitting,34.89632,32.441333,33.4201759307015,34.8489722112753,,360.6740853421126,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission
EuroAsia Interconnector,Kofinou Site,Korakia (Crete)Site,2026,921.0,1000,in permitting,33.4201759307015,34.8489722112753,24.9292747479624,35.4221134669488,,929.3991821545139,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission
HVDC LINE C - SUEDLINK,"Brunsbüttel, Wilster","Großgartach, Bergrheinfeld West",2026,700.0,4000,in permitting,9.37465,53.92253,10.1823734198334,50.0098593115179,,526.2794219283585,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission
AQUIND Interconnector,Lovedean (GB),Barnabos (FR),2026,240.0,2075,in permitting,-1.0230902,50.9065694,0.9888891,49.6597467,,238.95456083352096,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission
HVDC Line A South - Ultranet,Osterath (DE),Philippsburg (DE),2026,343.0,2000,in permitting,6.6207151,51.2690922,8.4546679,49.2367495,,313.06214034237723,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission
HVDC Aragon region -Marsillon,Aragon region,Marsillon,2030,120.0,2000,in planning,-0.61761634501423,42.6438651407996,-0.5999697,43.3907503,,99.67467691942161,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission
HVDC Pamplona area  - Cantegrit,Pamplona area,Cantegrit,2030,225.0,2000,in planning,-1.6440089,42.8181992,-0.80936246589025,44.0774977650984,,186.4714585921155,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission
GridLink,Kingsnorth (UK),"Warande (Gravelines, France)",2025,158.0,1400,in permitting,0.8608126,51.1165833,2.137794,50.996719,,108.28678737925802,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission
Greenlink,Great Island,Pembroke,2024,200.0,504,under construction,-6.8302171853333,52.1781066650576,-4.99472604163874,51.6834063083852,,164.80889973780242,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission
SACOI3,Codrongianos - Lucciana,Suvereto ,2027,300.0,400,in permitting,8.68197718355049,40.65774628903,10.6786806,43.079015,,379.1074925980307,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission
NeuConnect Interconnector,Grain West 400kV Substation,Fedderwarden 380kV Substation,2026,720.0,1400,in permitting,0.717757678254274,51.4556844317891,8.04550263743788,53.5622564168489,,657.7352717272701,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission
New HVDC line between Villanova and Fano existing 400 kV substations,Villanova,Fano,2028,560.0,1000,in planning,18.6906865686664,42.4567102782839,13.0146632,43.8424173,,582.5268965313774,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission
Tyrrhenian HVDC link - West,Caracoli,Selargius,2027,900.0,1000,in permitting,13.730554224127,37.9711675797554,9.1675535,39.2569504,,505.6599335737389,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission
Tyrrhenian HVDC link - East,Montecorvino,Caracoli,2028,424.0,1000,in permitting,14.9768999121369,40.697763176782,13.730554224127,37.9711675797554,,385.8771927275266,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission
Mares Cable : Irish Sea Interconnector Cable,Bodelwyddan,Maynooth,2027,211.0,750,in planning,-3.5129657,53.2705527,-6.5922806,53.3830239,,245.84041916846945,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission
HVDC from Wilhelmshaven to Region Hamm,Wilhelmshaven,Region Hamm,2031,270.0,2000,in planning,8.106301,53.5278793,7.80583183896726,51.6756116799298,,248.3513127471437,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission
HVDC from Heide/West to Polsum,Heide/West,Polsum,2031,440.0,2000,in planning,9.0465369,54.1891673,7.0528322,51.6264919,,377.67867576893855,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission
Interconnection between Crete and Attica (Phase II),Damasta,Koumoundouros,2024,373.0,1000,under construction,24.9242091606665,35.3634113292989,23.714140403436,37.9676294766463,,370.83219539503244,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission
EuroAfrica Interconnector,Kofinou,Damietta (Egypt),2026,512.0,1000,in permitting,33.3920208,34.8245908,31.8213657,31.4167427,,487.40220050710604,https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission
