country,carrier,year,min,max,unit,Source,component
Eur,H2 Electrolysis,2030,46978.7605,111532.3583,MW_H2,"https://www.iea.org/data-and-statistics/data-tools/hydrogen-production-projects-interactive-map(accessed 2024/12/05) minimum: operational, FID & feasibility study maximum: all statuses",link
PL,gas for electricity,2020,,3000.0,MW,https://ember-energy.org/latest-insights/stepping-on-the-gas/,link
PL,gas for electricity,2025,,5500.0,MW,value from 2024 communicated by Forum Energii 2025/03/07,link
PL,gas for electricity,2030,,15000.0,MW,communicated by Forum Energii 2025/03/07,link
RO,H2 Electrolysis,2030,1305.57,,MW_H2,maximum as communicated by EPG 2025/01/31,link
RO,co2 sequestered,2030,,10000000.0,t,maximum: NZIA of 9-10Mt/a communicated by EPG 2024/11/25,store
RO,co2 sequestered,2035,,10000000.0,t,maximum: NZIA of 9-10Mt/a communicated by EPG 2024/11/25,store
RO,co2 sequestered,2040,,10000000.0,t,maximum: NZIA of 9-10Mt/a communicated by EPG 2024/11/25,store
RO,co2 sequestered,2045,,10000000.0,t,maximum: NZIA of 9-10Mt/a communicated by EPG 2024/11/25,store
RO,co2 sequestered,2050,,10000000.0,t,maximum: NZIA of 9-10Mt/a communicated by EPG 2024/11/25,store
RO,gas for electricity,2020,,5000.0,MW,maximum as communicated by EPG 2025/01/31,link
RO,gas for electricity,2025,,5000.0,MW,maximum as communicated by EPG 2025/01/31,link
RO,gas for electricity,2030,,5000.0,MW,maximum as communicated by EPG 2025/01/31,link
RO,gas for electricity,2035,,5000.0,MW,maximum as communicated by EPG 2025/01/31,link
RO,gas for electricity,2040,,5000.0,MW,maximum as communicated by EPG 2025/01/31,link
RO,gas for electricity,2045,,5000.0,MW,maximum as communicated by EPG 2025/01/31,link
RO,gas for electricity,2050,,5000.0,MW,maximum as communicated by EPG 2025/01/31,link
AL,offwind,2030,15.449184619342825,23.173776929014235,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
AT,offwind,2030,0.0,0.0,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
BA,offwind,2030,0.0,0.0,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
BE,offwind,2030,1794.4655432782738,2788.696452391912,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
BG,offwind,2030,7.043044294234445,31.693699324055004,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
CH,offwind,2030,0.0,0.0,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
CZ,offwind,2030,0.0,0.0,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
DE,offwind,2030,24000.0,36000.0,MW,30 GW  (Agora)  +/-20.0% for min/max,generator
DK,offwind,2030,2566.7705635833504,8026.407841908519,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
EE,offwind,2030,283.9167908116809,425.87518621752133,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
ES,offwind,2030,503.62133550558207,776.7294229190569,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
FI,offwind,2030,466.330569077356,2263.6463040629988,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
FR,offwind,2030,859.50931817113,1352.6704023676798,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
GB,offwind,2030,41066.666666666664,63199.99999999999,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
GR,offwind,2030,497.071125508159,1065.1524118031978,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
HR,offwind,2030,250.64405317953592,425.0051336522566,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
HU,offwind,2030,0.0,0.0,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
IE,offwind,2030,976.8912255260102,1756.2089447658611,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
IT,offwind,2030,1749.6838509036334,2741.604993144541,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
LT,offwind,2030,54.22450013090609,104.11104025133967,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
LU,offwind,2030,0.0,0.0,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
LV,offwind,2030,119.00770551352763,178.5115582702914,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
ME,offwind,2030,3.3698046258447687,5.054706938767152,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
MK,offwind,2030,0.0,0.0,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
NL,offwind,2030,9935.693133585346,19657.254949636525,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
NO,offwind,2030,271.5944207087542,533.4793408520969,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
PL,offwind,2030,4800.000000000001,7199.999999999999,MW,Forum Energii 25.11.2024  +/-20.0% for min/max,generator
PT,offwind,2030,198.40518046879967,401.1235170347472,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
RO,offwind,2030,36.235113815473056,77.9396787729043,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
SE,offwind,2030,1287.49015026025,2090.7720483574058,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
SI,offwind,2030,0.8163284657200057,1.2244926985800084,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
SK,offwind,2030,0.0,0.0,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
AL,onwind,2030,384.55081538065724,576.8262230709857,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
AT,onwind,2030,6320.0,10799.999999999998,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
BA,onwind,2030,80.00000000000001,120.0,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
BE,onwind,2030,7085.534456721726,11011.303547608088,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
BG,onwind,2030,712.9569557057657,3208.3063006759453,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
CH,onwind,2030,240.0,372.0,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
CZ,onwind,2030,640.0000000000001,1799.9999999999998,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
DE,onwind,2030,92000.0,138000.0,MW,115 GW (Agora) +/-20.0% for min/max,generator
DK,onwind,2030,4033.7094364166505,12613.592158091482,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
EE,onwind,2030,1556.0832091883192,2334.124813782478,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
ES,onwind,2030,47736.37866449442,73623.27057708094,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
FI,onwind,2030,5293.669430922645,25696.353695937,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
FR,onwind,2030,28420.490681828876,44727.32959763232,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
GB,onwind,2030,20533.333333333332,31599.999999999996,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
GR,onwind,2030,5102.928874491842,10934.847588196802,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
HR,onwind,2030,1589.3559468204642,2694.9948663477435,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
HU,onwind,2030,240.0,1320.0,MW,Ember in on-/offshore ratio like Atlite in 2050 and +/-20.0% for min/max,generator
