TWh/a (MtCO2/a),electricity,coal,coke,solid biomass,methane,hydrogen,low-temperature heat,naphtha,ammonia,process emission,process emission from feedstock,current electricity
AL1 0,1.32,0.05,0.22,0.10,1.11,-0.00,0.11,0.44,0.00,0.11,0.01,1.32
AT1 0,0.94,0.00,0.01,0.33,0.81,0.00,0.15,0.13,0.00,0.00,0.00,1.03
AT1 1,17.39,5.44,8.86,8.69,30.77,0.00,1.83,2.78,0.00,2.32,0.08,16.80
AT1 2,11.57,0.00,0.58,4.96,17.46,0.00,1.43,4.89,0.00,1.39,0.26,9.40
BA1 0,2.66,1.00,2.44,0.59,3.40,-0.00,0.22,1.08,0.00,0.92,0.01,2.67
BE1 0,38.76,4.59,13.97,8.12,104.84,0.00,3.99,45.01,0.00,5.26,2.11,37.94
BG1 0,10.20,0.00,2.63,2.81,13.20,0.00,0.96,6.03,0.00,2.37,0.72,8.95
CH1 0,11.54,0.52,2.86,2.35,13.85,0.08,2.32,14.71,0.00,1.63,0.39,11.49
CZ1 0,24.94,4.27,13.59,5.11,50.10,0.00,7.05,8.01,0.00,3.41,0.38,22.64
DE1 0,14.52,0.15,1.57,2.94,18.38,0.00,3.16,3.46,0.00,1.47,0.19,18.16
DE1 1,25.67,2.68,6.67,3.01,36.44,0.00,4.72,9.37,0.00,2.37,0.57,28.33
DE1 2,70.35,17.12,36.66,5.69,128.35,0.00,15.45,38.04,0.00,6.40,2.47,65.67
DE1 3,19.31,1.67,5.66,4.48,29.90,0.00,4.97,9.23,0.00,3.85,0.57,20.08
DE1 4,20.27,0.09,2.76,3.67,28.61,0.00,4.28,6.58,0.00,2.31,0.38,23.87
DE1 5,23.10,0.05,2.72,3.37,41.59,0.00,7.62,20.20,0.00,2.21,1.34,19.41
DE1 6,29.94,0.42,3.84,4.73,46.41,0.00,9.36,20.90,0.00,2.27,1.37,28.71
DE1 7,16.84,1.04,3.16,2.22,23.03,0.00,2.75,3.62,0.00,1.30,0.19,20.64
DK1 0,6.37,0.00,1.41,1.85,8.50,0.00,0.68,1.82,0.00,1.27,0.00,5.84
DK2 0,2.78,0.00,0.18,0.66,3.81,0.00,0.26,0.44,0.00,0.03,0.00,2.56
EE6 0,2.45,0.00,0.29,0.42,2.05,0.00,0.43,0.75,0.00,0.20,0.00,2.07
ES1 0,31.02,2.66,5.12,3.43,51.03,0.00,0.38,9.97,0.00,4.51,0.50,30.54
ES1 1,15.30,0.18,0.65,3.69,30.99,0.00,0.06,7.28,0.00,2.70,0.30,15.65
ES1 2,29.45,0.67,1.73,9.83,67.14,0.00,0.08,14.41,0.00,6.69,0.58,29.32
ES4 0,0.47,0.00,0.00,0.11,0.70,0.00,0.00,0.14,0.00,0.10,0.00,0.54
FI2 0,41.01,2.70,4.91,46.20,25.71,0.00,14.35,12.95,0.00,2.19,0.69,37.89
