TWh/a (MtCO2/a),electricity,coal,coke,solid biomass,methane,hydrogen,low-temperature heat,naphtha,ammonia,process emission,process emission from feedstock,current electricity
AL1 0,1.40,0.03,0.10,0.30,0.67,0.26,0.07,0.27,0.00,0.10,0.01,1.32
AT1 0,1.25,0.00,0.01,0.36,0.46,0.07,0.17,0.11,0.00,0.00,0.00,1.03
AT1 1,28.01,3.37,4.46,8.13,15.90,2.14,2.20,2.48,0.00,1.91,0.06,16.80
AT1 2,14.03,0.00,0.28,3.61,10.35,2.09,1.51,4.82,0.00,1.43,0.19,9.40
BA1 0,3.08,0.60,1.11,0.78,1.76,1.44,0.14,0.58,0.00,0.86,0.01,2.67
BE1 0,73.11,2.50,5.71,6.76,74.74,9.79,3.11,26.07,0.00,4.93,1.50,37.94
BG1 0,17.83,0.00,0.94,2.57,7.31,1.30,0.93,4.32,0.00,2.59,0.55,8.95
CH1 0,11.82,0.31,1.28,4.56,7.67,4.70,1.31,9.48,0.00,1.59,0.28,11.49
CZ1 0,41.73,2.19,5.01,7.31,29.51,4.33,5.30,7.09,0.00,3.45,0.30,22.64
DE1 0,21.95,0.07,0.60,5.60,7.82,3.78,3.16,2.27,0.00,1.37,0.12,18.16
DE1 1,39.84,1.28,2.42,4.98,15.54,7.09,4.26,6.39,0.00,2.00,0.38,28.33
DE1 2,116.70,8.21,13.23,11.15,52.33,21.33,12.68,26.46,0.00,4.72,1.63,65.67
DE1 3,30.06,0.80,2.09,7.01,13.27,6.30,4.44,6.31,0.00,3.50,0.37,20.08
DE1 4,30.11,0.04,1.05,6.34,12.47,6.43,4.09,4.40,0.00,2.16,0.25,23.87
DE1 5,33.71,0.03,0.93,5.22,19.69,8.86,6.12,14.26,0.00,2.06,0.89,19.41
DE1 6,44.74,0.20,1.36,8.89,21.52,9.44,7.93,14.66,0.00,2.09,0.90,28.71
DE1 7,25.70,0.50,1.17,4.09,9.47,4.62,2.75,2.36,0.00,1.13,0.13,20.64
DK1 0,11.21,0.00,0.99,1.90,3.42,0.98,0.71,1.59,0.00,0.77,0.00,5.84
DK2 0,4.82,0.00,0.13,0.72,1.41,0.19,0.26,0.38,0.00,0.02,0.00,2.56
EE6 0,3.37,0.00,0.20,0.53,1.55,0.19,0.37,0.42,0.00,0.20,0.00,2.07
ES1 0,48.12,2.03,3.03,5.80,26.03,1.86,0.67,6.85,0.00,3.55,0.30,30.54
ES1 1,24.11,0.14,0.36,6.07,15.57,1.27,0.59,4.82,0.00,2.27,0.18,15.65
ES1 2,48.46,0.51,0.98,14.61,33.21,3.40,1.24,9.45,0.00,5.62,0.35,29.32
ES4 0,0.73,0.00,0.00,0.21,0.35,0.02,0.02,0.08,0.00,0.08,0.00,0.54
FI2 0,62.15,1.00,1.67,32.80,13.68,2.92,9.79,4.40,0.00,1.54,0.39,37.89
FR1 0,24.53,0.02,0.34,2.01,18.57,1.66,2.30,4.38,0.00,1.93,0.16,15.39
FR1 1,52.38,2.10,4.42,2.07,39.68,3.79,3.32,14.02,0.00,4.58,0.62,29.02
FR1 2,56.33,0.33,1.30,3.99,42.73,3.96,5.07,13.45,0.00,3.37,0.57,34.01
FR1 3,30.47,1.27,2.67,1.89,24.62,2.32,2.23,7.54,0.00,2.83,0.33,16.54
FR1 4,18.20,0.00,0.25,1.58,11.73,0.98,1.75,1.61,0.00,1.82,0.03,12.06
GB0 0,51.31,1.82,4.43,8.20,25.52,4.00,7.42,11.54,0.00,3.61,0.22,37.83
GB0 1,52.00,1.47,4.04,7.17,28.65,4.98,7.15,14.44,0.00,4.92,0.40,38.26
GB0 2,20.64,0.46,1.18,2.56,11.79,1.69,3.35,9.61,0.00,0.86,0.34,14.42
