TWh/a (MtCO2/a),electricity,coal,coke,solid biomass,methane,hydrogen,low-temperature heat,naphtha,ammonia,process emission,process emission from feedstock,current electricity
GB5 0,2.58,0.00,0.13,0.43,1.40,0.22,0.45,0.90,0.00,0.31,0.02,1.94
GR1 0,16.90,0.00,1.27,1.74,10.26,1.38,0.39,2.45,0.00,2.10,0.04,12.67
HR1 0,5.34,0.00,0.43,0.65,4.63,0.71,1.56,0.93,0.00,1.84,0.00,3.51
HU1 0,31.05,0.93,1.41,7.13,21.57,3.34,3.39,7.15,0.00,1.48,0.32,15.39
IE5 0,17.44,0.00,0.60,1.61,5.63,0.54,0.43,1.28,0.00,2.25,0.00,9.84
IT1 0,24.66,0.08,0.23,1.81,12.63,1.75,2.86,2.78,0.00,4.49,0.03,20.45
IT1 1,31.45,0.34,0.74,2.10,17.06,2.23,3.83,4.35,0.00,4.93,0.10,25.15
IT1 2,35.63,1.81,3.42,0.95,17.95,2.01,3.03,7.29,0.00,3.87,0.30,25.43
IT1 3,50.33,0.66,1.68,3.65,33.54,4.51,8.56,11.97,0.00,5.76,0.43,38.29
IT3 0,4.54,0.00,0.01,0.16,3.25,0.41,0.52,1.66,0.00,0.39,0.07,3.35
LT6 0,5.84,0.00,0.46,1.21,13.25,1.08,1.93,0.58,0.00,1.65,0.00,3.31
LU1 0,3.89,0.00,0.47,0.36,0.90,0.17,0.12,0.60,0.00,0.97,0.00,3.16
LV6 0,4.35,0.00,0.27,2.71,1.72,0.32,1.00,0.33,0.00,0.22,0.00,1.70
ME1 0,0.39,0.01,0.06,0.21,0.25,0.25,0.03,0.16,0.00,0.15,0.00,0.36
MK1 0,1.61,0.37,0.58,0.18,0.75,0.34,0.06,0.17,0.00,0.12,0.00,1.37
NL1 0,14.87,0.00,0.09,2.77,10.26,1.10,1.34,1.77,0.00,0.23,0.13,7.79
NL1 1,88.69,5.05,7.23,6.07,75.74,12.53,11.13,28.34,0.00,1.96,2.36,26.46
NO2 0,18.53,1.36,4.11,6.94,15.22,12.97,1.80,18.09,0.00,6.37,0.52,17.47
PL1 0,21.07,0.16,4.02,6.21,14.66,1.42,2.67,3.46,0.00,2.81,0.11,11.53
PL1 1,13.47,0.04,1.82,2.34,10.60,0.99,1.55,2.31,0.00,0.44,0.07,7.05
PL1 2,17.19,0.00,3.58,7.80,11.56,1.15,2.44,3.74,0.00,1.09,0.12,8.98
PL1 3,38.89,4.27,10.92,7.09,23.55,1.94,3.75,2.31,0.00,8.38,0.06,18.86
PL1 4,6.07,0.21,1.30,1.64,4.62,0.45,0.74,1.38,0.00,0.09,0.05,3.07
PT1 0,24.22,0.00,1.14,7.71,14.40,2.18,2.03,3.07,0.00,3.44,0.12,15.48
RO1 0,43.50,1.52,3.13,4.69,19.46,2.96,3.03,9.13,0.00,7.41,0.55,20.53
RS1 0,10.73,0.84,1.69,2.71,6.15,3.07,0.85,6.19,0.00,0.62,0.19,9.97
SE2 0,66.02,1.18,2.72,28.83,20.27,3.07,5.04,9.78,0.00,3.89,0.75,50.28
SI1 0,10.79,0.00,0.66,0.94,2.95,0.78,0.76,0.81,0.00,1.74,0.06,6.20
SK1 0,21.47,2.37,4.08,5.69,13.54,3.36,1.35,3.80,0.00,3.37,0.02,11.61
