TWh/a (MtCO2/a),electricity,coal,coke,solid biomass,methane,hydrogen,low-temperature heat,naphtha,ammonia,process emission,process emission from feedstock,current electricity
AL1 0,1.45,0.00,0.00,0.49,0.25,0.53,0.04,0.10,0.00,0.08,0.00,1.32
AT1 0,1.39,0.00,,0.27,0.00,0.22,0.19,0.00,0.00,0.00,0.00,1.03
AT1 1,35.29,0.01,,5.67,0.88,7.88,2.92,0.00,0.00,1.02,0.03,16.80
AT1 2,14.94,0.01,,2.16,1.94,5.30,1.67,0.00,0.00,1.19,0.09,9.40
BA1 0,3.42,0.00,0.00,0.96,0.40,3.19,0.08,0.11,0.00,0.77,0.00,2.67
BE1 0,87.44,0.02,,5.13,2.49,49.39,2.64,0.00,0.00,3.90,0.77,37.94
BG1 0,21.79,0.00,,1.42,0.64,5.78,1.11,0.00,0.00,2.61,0.32,8.95
CH1 0,12.37,0.00,0.00,6.82,2.04,9.08,0.60,4.50,0.00,1.54,0.16,11.49
CZ1 0,51.64,0.02,,5.08,1.23,15.94,5.25,0.00,0.00,2.95,0.17,22.64
DE1 0,23.19,0.01,,2.58,0.20,9.60,2.98,0.00,0.00,1.19,0.06,18.16
DE1 1,43.12,0.01,,2.20,0.55,18.54,3.59,0.00,0.00,1.45,0.19,28.33
DE1 2,134.58,0.03,,5.23,1.79,58.26,8.67,0.00,0.00,2.43,0.82,65.67
DE1 3,33.02,0.01,,3.02,0.55,15.94,3.49,0.00,0.00,2.91,0.19,20.08
DE1 4,31.45,0.01,,2.83,0.37,16.03,3.71,0.00,0.00,1.87,0.13,23.87
DE1 5,36.15,0.01,,2.27,0.93,19.47,4.07,0.00,0.00,1.79,0.45,19.41
DE1 6,48.39,0.01,,4.10,0.94,21.12,5.77,0.00,0.00,1.78,0.45,28.71
DE1 7,27.22,0.01,,1.87,0.22,12.29,2.70,0.00,0.00,0.87,0.06,20.64
DK1 0,14.64,0.01,,1.37,0.64,3.46,0.87,0.00,0.00,0.45,0.00,5.84
DK2 0,6.22,0.00,,0.52,0.00,0.67,0.29,0.00,0.00,0.01,0.00,2.56
EE6 0,4.43,0.00,,0.34,0.22,0.43,0.34,0.00,0.00,0.12,0.00,2.07
ES1 0,57.13,0.02,,5.13,4.23,9.28,1.10,0.00,0.00,2.24,0.12,30.54
ES1 1,29.00,0.01,,5.32,1.71,6.04,1.01,0.00,0.00,1.61,0.07,15.65
ES1 2,60.35,0.02,,12.37,3.17,16.41,2.11,0.00,0.00,3.96,0.14,29.32
ES4 0,0.86,0.00,,0.20,0.03,0.12,0.03,0.00,0.00,0.06,0.00,0.54
FI2 0,74.54,0.02,,14.55,3.25,11.25,8.14,0.00,0.00,1.37,0.26,37.89
FR1 0,31.50,0.01,,1.62,0.38,8.89,2.34,0.00,0.00,1.42,0.07,15.39
FR1 1,68.17,0.02,,1.63,1.26,21.09,3.31,0.00,0.00,2.85,0.27,29.02
FR1 2,72.35,0.02,,3.21,1.04,20.67,5.13,0.00,0.00,2.40,0.24,34.01
FR1 3,40.72,0.01,,1.45,0.60,13.12,2.33,0.00,0.00,1.81,0.14,16.54
FR1 4,23.47,0.01,,1.29,0.21,5.52,1.75,0.00,0.00,1.35,0.01,12.06
GB0 0,64.58,0.02,,7.04,1.80,22.09,9.48,0.00,0.00,3.11,0.12,37.83
GB0 1,62.24,0.02,,6.31,2.94,26.33,9.07,0.00,0.00,4.50,0.23,38.26
GB0 2,23.56,0.01,,2.27,1.83,7.94,3.61,0.00,0.00,0.73,0.20,14.42
GB5 0,3.16,0.00,,0.36,0.21,1.11,0.50,0.00,0.00,0.31,0.01,1.94
GR1 0,19.96,0.00,,1.01,0.57,5.91,0.73,0.00,0.00,1.76,0.02,12.67
HR1 0,6.28,0.00,,0.38,0.15,2.50,1.91,0.00,0.00,1.28,0.00,3.51
HU1 0,34.38,0.01,,9.05,0.92,13.97,3.16,0.00,0.00,0.81,0.11,15.39
IE5 0,22.04,0.00,,1.04,0.71,1.65,0.99,0.00,0.00,1.99,0.00,9.84
IT1 0,27.61,0.00,,1.32,0.64,8.44,2.88,0.00,0.00,3.86,0.01,20.45
IT1 1,35.65,0.00,,1.53,0.81,10.66,3.32,0.00,0.00,4.18,0.05,25.15
IT1 2,42.21,0.00,,0.68,1.04,9.63,2.23,0.00,0.00,2.96,0.15,25.43
IT1 3,56.95,0.01,,2.53,1.40,20.93,5.31,0.00,0.00,4.82,0.21,38.29
IT3 0,5.07,0.00,,0.11,0.20,1.79,0.39,0.00,0.00,0.33,0.04,3.35
LT6 0,7.69,0.01,,0.50,0.21,5.55,1.00,0.00,0.00,0.35,0.00,3.31
LU1 0,4.30,0.05,,0.44,0.25,0.80,0.18,0.00,0.00,0.86,0.00,3.16
LV6 0,6.12,0.00,,0.73,0.17,1.23,1.21,0.00,0.00,0.24,0.00,1.70
ME1 0,0.43,0.00,0.00,0.26,0.06,0.50,0.02,0.04,0.00,0.15,0.00,0.36
MK1 0,1.80,0.00,0.00,0.32,0.15,0.88,0.03,0.06,0.00,0.06,0.00,1.37
NL1 0,16.83,0.00,,1.30,0.15,6.39,1.68,0.00,0.00,0.15,0.05,7.79
NL1 1,108.88,0.02,,2.81,2.51,67.00,7.15,0.00,0.00,0.87,0.92,26.46
NO2 0,19.90,0.00,0.00,8.15,5.17,24.02,0.69,8.55,0.00,6.14,0.30,17.47
PL1 0,24.55,0.07,,5.30,0.77,6.35,4.11,0.00,0.00,1.89,0.04,11.53
PL1 1,16.13,0.04,,2.24,0.20,4.52,2.22,0.00,0.00,0.29,0.03,7.05
PL1 2,19.82,0.06,,6.80,0.52,4.40,3.85,0.00,0.00,0.74,0.05,8.98
PL1 3,50.59,0.12,,5.27,1.47,11.45,4.40,0.00,0.00,5.23,0.02,18.86
PL1 4,7.11,0.02,,1.51,0.12,1.84,1.12,0.00,0.00,0.04,0.02,3.07
