TWh/a (MtCO2/a),electricity,coal,coke,solid biomass,methane,hydrogen,low-temperature heat,naphtha,ammonia,process emission,process emission from feedstock,current electricity
AL1 0,1.32,0.05,0.19,0.14,1.02,0.05,0.10,0.40,0.00,0.10,0.01,1.32
AT1 0,1.06,0.00,0.01,0.35,0.68,0.00,0.17,0.17,0.00,0.00,0.00,1.03
AT1 1,20.31,5.37,8.42,8.69,25.41,0.06,2.04,3.49,0.00,2.25,0.08,16.80
AT1 2,12.59,0.00,0.55,4.65,14.48,0.12,1.54,6.10,0.00,1.41,0.24,9.40
BA1 0,2.74,0.92,2.13,0.63,3.05,0.24,0.20,0.97,0.00,0.90,0.01,2.67
BE1 0,45.22,4.26,12.31,8.09,93.60,0.19,4.01,47.21,0.00,5.20,1.91,37.94
BG1 0,12.16,0.00,2.20,3.06,9.67,0.04,0.99,6.85,0.00,2.45,0.67,8.95
CH1 0,11.45,0.47,2.48,2.79,12.40,1.01,2.05,13.17,0.00,1.62,0.35,11.49
CZ1 0,29.86,3.91,11.64,6.77,41.80,0.12,6.61,10.40,0.00,3.49,0.36,22.64
DE1 0,18.08,0.19,1.89,4.09,16.33,0.16,3.41,4.12,0.00,1.60,0.18,18.16
DE1 1,31.89,3.34,7.91,3.98,32.19,0.32,4.95,11.17,0.00,2.52,0.56,28.33
DE1 2,88.13,21.35,43.43,7.94,112.22,1.03,15.87,45.40,0.00,6.66,2.42,65.67
DE1 3,23.98,2.08,6.76,5.83,26.52,0.30,5.21,11.01,0.00,4.17,0.56,20.08
DE1 4,25.06,0.11,3.33,4.93,25.46,0.28,4.56,7.84,0.00,2.51,0.37,23.87
DE1 5,27.98,0.06,3.17,4.35,37.05,0.56,7.78,24.17,0.00,2.40,1.32,19.41
DE1 6,36.63,0.53,4.52,6.52,41.28,0.58,9.68,24.99,0.00,2.46,1.35,28.71
DE1 7,20.97,1.30,3.77,3.05,20.36,0.18,2.96,4.30,0.00,1.39,0.19,20.64
DK1 0,8.47,0.00,1.51,2.13,6.36,0.07,0.77,1.88,0.00,1.09,0.00,5.84
DK2 0,3.69,0.00,0.19,0.78,2.82,0.01,0.30,0.45,0.00,0.03,0.00,2.56
EE6 0,2.83,0.00,0.28,0.52,1.91,0.01,0.43,0.67,0.00,0.21,0.00,2.07
ES1 0,38.52,2.92,5.36,4.49,40.00,0.09,0.45,9.84,0.00,4.20,0.43,30.54
ES1 1,19.09,0.20,0.67,4.78,24.33,0.06,0.40,7.18,0.00,2.55,0.26,15.65
ES1 2,37.10,0.73,1.79,12.33,52.68,0.15,0.83,14.20,0.00,6.31,0.49,29.32
ES4 0,0.58,0.00,0.00,0.15,0.56,0.00,0.01,0.14,0.00,0.09,0.00,0.54
FI2 0,46.80,2.61,4.71,41.39,22.28,0.20,12.33,11.76,0.00,2.18,0.64,37.89
FR1 0,19.62,0.04,0.87,2.66,25.76,0.03,2.93,6.50,0.00,2.16,0.23,15.39
FR1 1,40.81,4.23,12.17,2.93,55.76,0.07,3.78,20.32,0.00,5.53,0.89,29.02
FR1 2,45.07,0.67,3.47,5.31,59.03,0.07,6.22,19.64,0.00,3.84,0.81,34.01
FR1 3,23.30,2.56,7.34,2.81,35.37,0.04,2.33,10.96,0.00,3.39,0.47,16.54
FR1 4,14.50,0.00,0.61,1.98,16.36,0.01,2.50,2.51,0.00,2.02,0.04,12.06
GB0 0,40.31,3.22,9.97,6.75,44.97,0.07,5.72,18.33,0.00,3.88,0.28,37.83
GB0 1,43.12,2.60,9.03,5.52,49.22,0.10,5.67,21.98,0.00,5.14,0.51,38.26
GB0 2,18.07,0.81,2.66,1.95,19.56,0.05,3.02,14.01,0.00,0.94,0.44,14.42
GB5 0,2.13,0.00,0.27,0.38,2.29,0.01,0.38,1.39,0.00,0.31,0.03,1.94
GR1 0,14.45,0.00,2.60,1.87,16.85,0.03,0.29,3.87,0.00,2.29,0.06,12.67
HR1 0,4.41,0.00,0.72,0.63,8.87,0.02,1.29,1.32,0.00,2.24,0.00,3.51
HU1 0,22.03,1.47,2.69,4.68,32.09,0.05,4.02,12.83,0.00,1.77,0.47,15.39
IE5 0,14.27,0.00,1.14,2.15,10.45,0.03,0.31,1.97,0.00,2.40,0.00,9.84
IT1 0,21.54,0.11,0.41,1.27,20.12,0.04,3.42,4.04,0.00,4.63,0.04,20.45
IT1 1,27.23,0.46,1.34,1.45,27.44,0.06,4.84,6.05,0.00,5.12,0.13,25.15
IT1 2,29.63,2.42,6.33,0.74,29.37,0.07,4.35,9.51,0.00,4.22,0.39,25.43
IT1 3,43.77,0.89,2.99,3.13,54.42,0.15,11.72,15.81,0.00,6.02,0.56,38.29
IT3 0,4.02,0.00,0.01,0.14,5.10,0.02,0.75,2.11,0.00,0.40,0.10,3.35
LT6 0,4.73,0.00,0.97,1.35,15.65,0.01,2.54,0.52,0.00,1.55,0.00,3.31
LU1 0,3.28,0.00,0.55,0.28,2.42,0.01,0.08,0.39,0.00,0.98,0.00,3.16
LV6 0,3.00,0.00,0.41,4.11,2.26,0.01,1.08,0.42,0.00,0.21,0.00,1.70
ME1 0,0.37,0.02,0.12,0.18,0.41,0.05,0.04,0.25,0.00,0.15,0.00,0.36
MK1 0,1.41,0.57,1.13,0.07,1.36,0.04,0.09,0.27,0.00,0.15,0.00,1.37
NL1 0,10.06,0.00,0.13,1.04,20.18,0.01,1.46,3.67,0.00,0.23,0.17,7.79
NL1 1,52.81,6.53,11.58,2.47,135.77,0.09,14.68,57.06,0.00,2.26,2.96,26.46
NO2 0,17.46,2.08,7.93,6.02,23.93,4.07,3.02,25.16,0.00,6.49,0.67,17.47
PL1 0,16.20,0.21,6.96,5.69,21.70,0.06,2.55,4.38,0.00,3.05,0.15,11.53
PL1 1,10.14,0.05,3.25,1.83,16.28,0.04,1.51,2.93,0.00,0.48,0.10,7.05
PL1 2,13.40,0.00,6.29,6.96,17.83,0.06,2.31,4.72,0.00,1.18,0.17,8.98
PL1 3,26.64,5.77,18.51,7.52,34.52,0.05,4.04,2.97,0.00,9.42,0.09,18.86
PL1 4,4.67,0.29,2.34,1.37,7.36,0.02,0.72,1.73,0.00,0.11,0.06,3.07
PT1 0,19.22,0.00,0.75,10.53,22.21,0.08,2.41,2.03,0.00,3.95,0.18,15.48
RO1 0,29.01,1.87,4.96,4.35,25.27,0.11,3.44,15.24,0.00,8.46,0.77,20.53
RS1 0,10.02,1.29,3.32,1.45,10.03,0.92,1.34,8.53,0.00,0.70,0.24,9.97
SE2 0,57.22,2.63,7.63,41.18,25.88,0.18,6.01,14.81,0.00,4.37,0.99,50.28
SI1 0,8.58,0.00,0.68,0.99,5.55,0.03,0.73,0.81,0.00,1.67,0.08,6.20
SK1 0,15.18,3.67,8.28,5.72,22.09,0.06,1.33,6.45,0.00,3.52,0.02,11.61
