TWh/a (MtCO2/a),electricity,coal,coke,solid biomass,methane,hydrogen,low-temperature heat,naphtha,ammonia,process emission,process emission from feedstock,current electricity
AL1 0,1.36,0.04,0.15,0.22,0.84,0.15,0.08,0.33,0.00,0.10,0.01,1.32
AT1 0,1.15,0.00,0.01,0.35,0.57,0.03,0.17,0.17,0.00,0.00,0.00,1.03
AT1 1,23.76,4.67,6.75,8.41,20.66,0.72,2.08,3.67,0.00,2.11,0.07,16.80
AT1 2,13.23,0.00,0.42,4.06,12.26,0.96,1.50,6.69,0.00,1.41,0.21,9.40
BA1 0,2.90,0.79,1.64,0.70,2.41,0.79,0.17,0.78,0.00,0.89,0.01,2.67
BE1 0,57.69,3.52,9.00,7.18,85.73,3.41,3.55,42.98,0.00,5.09,1.70,37.94
BG1 0,14.89,0.00,1.41,2.84,8.14,0.41,0.95,6.91,0.00,2.52,0.61,8.95
CH1 0,11.63,0.41,1.88,3.67,10.01,2.85,1.66,11.31,0.00,1.61,0.31,11.49
CZ1 0,35.15,3.14,8.16,7.03,35.70,1.64,5.95,11.01,0.00,3.50,0.33,22.64
DE1 0,19.84,0.15,1.30,4.06,11.63,1.91,3.34,3.70,0.00,1.48,0.15,18.16
DE1 1,35.45,2.58,5.45,3.74,23.01,3.52,4.68,10.22,0.00,2.26,0.46,28.33
DE1 2,100.74,16.50,29.96,8.00,79.20,10.36,14.55,41.93,0.00,5.73,2.00,65.67
DE1 3,26.71,1.61,4.65,5.34,19.22,3.21,4.92,10.09,0.00,3.83,0.46,20.08
DE1 4,27.36,0.09,2.29,4.71,18.29,3.28,4.40,7.11,0.00,2.32,0.31,23.87
DE1 5,30.56,0.05,2.10,3.98,27.50,4.98,7.08,22.45,0.00,2.22,1.09,19.41
DE1 6,40.30,0.41,3.04,6.45,30.40,5.24,8.97,23.15,0.00,2.27,1.11,28.71
DE1 7,23.11,1.01,2.61,2.99,14.35,2.25,2.90,3.86,0.00,1.26,0.16,20.64
DK1 0,9.96,0.00,1.29,1.97,4.47,0.38,0.75,1.97,0.00,0.92,0.00,5.84
DK2 0,4.31,0.00,0.17,0.73,1.93,0.07,0.28,0.47,0.00,0.02,0.00,2.56
EE6 0,3.07,0.00,0.24,0.50,1.82,0.06,0.40,0.59,0.00,0.21,0.00,2.07
ES1 0,46.09,2.58,4.28,4.50,31.43,0.69,0.55,9.49,0.00,3.92,0.37,30.54
ES1 1,23.00,0.18,0.51,4.74,18.99,0.49,0.48,6.81,0.00,2.43,0.22,15.65
ES1 2,45.50,0.65,1.40,11.72,40.90,1.28,1.01,13.42,0.00,6.01,0.42,29.32
ES4 0,0.70,0.00,0.00,0.16,0.43,0.01,0.02,0.12,0.00,0.09,0.00,0.54
FI2 0,52.92,2.00,3.43,36.79,18.35,1.11,11.02,9.60,0.00,2.03,0.55,37.89
FR1 0,21.76,0.03,0.57,2.20,21.78,0.60,2.59,6.73,0.00,2.04,0.20,15.39
FR1 1,45.79,3.18,7.91,2.31,46.88,1.35,3.66,21.18,0.00,5.08,0.75,29.02
FR1 2,49.97,0.51,2.26,4.37,49.94,1.46,5.67,20.43,0.00,3.60,0.68,34.01
FR1 3,26.40,1.93,4.78,2.14,29.51,0.81,2.39,11.41,0.00,3.12,0.40,16.54
FR1 4,16.12,0.00,0.41,1.70,13.81,0.34,2.04,2.56,0.00,1.92,0.04,12.06
GB0 0,46.78,2.51,6.88,6.29,33.45,1.50,6.50,17.45,0.00,3.77,0.25,37.83
GB0 1,48.66,2.02,6.24,5.38,36.92,1.94,6.34,21.25,0.00,5.05,0.45,38.26
GB0 2,19.83,0.63,1.83,1.92,14.84,0.74,3.17,13.75,0.00,0.91,0.39,14.42
GB5 0,2.41,0.00,0.19,0.34,1.75,0.09,0.42,1.34,0.00,0.31,0.03,1.94
GR1 0,15.49,0.00,1.85,1.71,13.55,0.43,0.33,3.41,0.00,2.20,0.05,12.67
HR1 0,4.82,0.00,0.59,0.61,6.56,0.27,1.38,1.32,0.00,2.05,0.00,3.51
HU1 0,27.05,1.36,2.26,5.76,26.61,1.23,3.71,11.78,0.00,1.68,0.41,15.39
IE5 0,15.55,0.00,0.86,1.81,8.02,0.18,0.36,1.74,0.00,2.35,0.00,9.84
IT1 0,23.11,0.10,0.33,1.36,16.08,0.59,3.15,4.08,0.00,4.56,0.03,20.45
IT1 1,29.34,0.43,1.07,1.57,21.85,0.75,4.36,6.20,0.00,5.03,0.11,25.15
IT1 2,32.54,2.24,5.04,0.73,23.24,0.70,3.69,9.95,0.00,4.07,0.34,25.43
IT1 3,47.03,0.82,2.40,2.90,43.16,1.58,10.20,16.47,0.00,5.89,0.49,38.29
IT3 0,4.28,0.00,0.01,0.12,4.09,0.15,0.63,2.22,0.00,0.40,0.09,3.35
LT6 0,5.24,0.00,0.68,1.20,14.22,0.33,2.26,0.70,0.00,1.39,0.00,3.31
LU1 0,3.54,0.00,0.56,0.29,1.62,0.06,0.09,0.57,0.00,0.98,0.00,3.16
LV6 0,3.70,0.00,0.35,3.41,2.10,0.10,1.05,0.43,0.00,0.22,0.00,1.70
ME1 0,0.38,0.02,0.09,0.19,0.33,0.15,0.04,0.21,0.00,0.15,0.00,0.36
MK1 0,1.51,0.49,0.87,0.12,1.06,0.16,0.07,0.22,0.00,0.14,0.00,1.37
NL1 0,14.00,0.00,0.11,1.11,14.41,0.36,1.41,3.12,0.00,0.23,0.15,7.79
NL1 1,78.91,6.14,9.83,2.49,100.53,4.41,13.02,49.04,0.00,2.17,2.69,26.46
NO2 0,17.96,1.79,6.05,6.48,19.53,8.46,2.37,21.60,0.00,6.44,0.60,17.47
PL1 0,18.63,0.20,5.64,5.74,18.38,0.56,2.58,4.54,0.00,2.94,0.13,11.53
PL1 1,11.78,0.05,2.59,2.02,13.64,0.39,1.52,3.03,0.00,0.46,0.08,7.05
PL1 2,15.30,0.00,5.05,7.13,14.82,0.50,2.34,4.89,0.00,1.14,0.14,8.98
PL1 3,32.41,5.40,15.39,7.02,29.60,0.62,3.90,3.06,0.00,8.97,0.08,18.86
PL1 4,5.36,0.27,1.88,1.46,6.06,0.19,0.72,1.79,0.00,0.10,0.05,3.07
PT1 0,21.46,0.00,1.08,9.07,18.41,0.74,2.22,3.46,0.00,3.70,0.15,15.48
RO1 0,36.10,1.88,4.40,4.47,22.39,1.03,3.23,14.59,0.00,7.98,0.66,20.53
RS1 0,10.36,1.11,2.53,2.08,8.08,1.94,1.08,7.35,0.00,0.66,0.21,9.97
SE2 0,62.09,1.96,5.06,35.59,22.93,1.31,5.69,13.92,0.00,4.29,0.89,50.28
SI1 0,9.75,0.00,0.75,0.96,4.26,0.27,0.75,0.96,0.00,1.75,0.07,6.20
SK1 0,18.36,3.28,6.50,5.77,17.27,1.28,1.32,6.31,0.00,3.45,0.02,11.61
