TWh/a (MtCO2/a),electricity,coal,coke,solid biomass,methane,hydrogen,low-temperature heat,naphtha,ammonia,process emission,process emission from feedstock,current electricity
AL1 0,1.46,0.01,0.02,0.45,0.33,0.47,0.04,0.14,0.00,0.08,0.00,1.32
AT1 0,1.34,0.00,0.00,0.31,0.12,0.17,0.18,0.01,0.00,0.00,0.00,1.03
AT1 1,33.32,0.36,0.38,6.70,4.98,6.02,2.66,0.76,0.00,1.33,0.04,16.80
AT1 2,14.42,0.00,0.02,2.62,5.35,4.37,1.60,1.98,0.00,1.33,0.12,9.40
BA1 0,3.37,0.18,0.23,0.93,0.65,2.81,0.09,0.21,0.00,0.79,0.00,2.67
BE1 0,86.39,0.38,0.60,5.78,31.90,36.58,2.62,8.36,0.00,4.30,1.02,37.94
BG1 0,21.25,0.00,0.04,1.85,4.05,4.42,1.03,1.28,0.00,2.61,0.40,8.95
CH1 0,12.21,0.09,0.25,6.36,3.25,8.27,0.73,5.93,0.00,1.55,0.20,11.49
CZ1 0,49.35,0.36,0.57,6.25,11.29,12.36,4.98,2.55,0.00,3.19,0.22,22.64
DE1 0,23.21,0.00,0.01,3.93,2.28,8.46,2.99,0.64,0.00,1.19,0.08,18.16
DE1 1,43.06,0.04,0.05,3.36,5.31,16.18,3.71,1.90,0.00,1.54,0.24,28.33
DE1 2,132.43,0.23,0.26,7.94,17.41,50.21,9.63,8.08,0.00,2.94,1.02,65.67
DE1 3,32.73,0.02,0.04,4.64,4.97,14.02,3.70,1.88,0.00,2.95,0.23,20.08
DE1 4,31.54,0.00,0.02,4.33,3.97,14.17,3.76,1.27,0.00,1.88,0.16,23.87
DE1 5,35.73,0.00,0.02,3.48,8.19,17.70,4.56,4.40,0.00,1.79,0.56,19.41
DE1 6,47.88,0.01,0.02,6.24,8.56,19.10,6.27,4.49,0.00,1.80,0.57,28.71
DE1 7,27.31,0.01,0.02,2.85,2.63,10.71,2.67,0.66,0.00,0.91,0.08,20.64
DK1 0,13.38,0.00,0.08,1.66,1.80,2.66,0.78,1.18,0.00,0.59,0.00,5.84
DK2 0,5.69,0.00,0.01,0.63,0.46,0.51,0.26,0.28,0.00,0.01,0.00,2.56
EE6 0,4.11,0.00,0.01,0.47,0.65,0.43,0.34,0.14,0.00,0.15,0.00,2.07
