TWh/a (MtCO2/a),electricity,coal,coke,solid biomass,methane,hydrogen,low-temperature heat,naphtha,ammonia,process emission,process emission from feedstock,current electricity
ES1 0,54.63,0.44,0.50,5.68,12.23,6.70,0.94,2.89,0.00,2.68,0.18,30.54
ES1 1,27.61,0.03,0.05,5.90,6.09,4.41,0.85,1.84,0.00,1.85,0.11,15.65
ES1 2,57.07,0.11,0.15,13.78,12.18,11.96,1.77,3.55,0.00,4.56,0.20,29.32
ES4 0,0.82,0.00,0.00,0.22,0.12,0.09,0.03,0.01,0.00,0.07,0.00,0.54
FI2 0,69.91,0.18,0.26,20.04,6.72,8.62,8.32,1.30,0.00,1.39,0.30,37.89
FR1 0,29.78,0.00,0.03,2.16,6.90,6.51,2.20,1.27,0.00,1.60,0.10,15.39
FR1 1,64.42,0.29,0.38,2.19,17.44,15.22,3.17,4.53,0.00,3.39,0.37,29.02
FR1 2,68.34,0.05,0.11,4.29,17.04,15.18,4.86,4.21,0.00,2.73,0.34,34.01
FR1 3,38.16,0.18,0.23,1.95,9.58,9.44,2.21,2.41,0.00,2.13,0.20,16.54
FR1 4,22.19,0.00,0.02,1.72,4.09,4.00,1.64,0.34,0.00,1.52,0.02,12.06
GB0 0,61.66,0.29,0.47,9.29,8.55,15.76,8.92,2.62,0.00,3.26,0.15,37.83
GB0 1,59.91,0.23,0.43,8.30,10.99,18.95,8.53,4.00,0.00,4.62,0.28,38.26
GB0 2,22.80,0.07,0.12,2.98,5.49,5.83,3.51,3.11,0.00,0.77,0.24,14.42
GB5 0,3.02,0.00,0.01,0.47,0.64,0.81,0.49,0.24,0.00,0.31,0.02,1.94
GR1 0,19.42,0.00,0.07,1.36,3.63,4.83,0.62,0.75,0.00,1.87,0.03,12.67
HR1 0,6.22,0.00,0.02,0.56,1.44,1.85,1.85,0.37,0.00,1.45,0.00,3.51
HU1 0,33.69,0.08,0.10,8.74,8.47,10.41,3.09,2.34,0.00,1.01,0.17,15.39
IE5 0,21.08,0.00,0.04,1.25,1.80,1.42,0.78,0.56,0.00,2.07,0.00,9.84
IT1 0,26.89,0.02,0.04,1.75,4.55,6.46,2.64,0.58,0.00,4.11,0.02,20.45
IT1 1,34.62,0.08,0.11,2.03,6.03,8.16,3.20,1.24,0.00,4.47,0.06,25.15
IT1 2,40.61,0.44,0.51,0.90,6.79,7.33,2.20,2.86,0.00,3.27,0.19,25.43
IT1 3,55.24,0.16,0.26,3.37,11.45,16.09,5.84,4.35,0.00,5.18,0.28,38.29
IT3 0,4.92,0.00,0.00,0.14,1.30,1.39,0.38,0.69,0.00,0.36,0.05,3.35
LT6 0,7.31,0.00,0.02,0.84,4.69,3.95,1.26,0.31,0.00,0.76,0.00,3.31
LU1 0,4.25,0.00,0.08,0.47,0.29,0.63,0.16,0.41,0.00,0.92,0.00,3.16
LV6 0,5.80,0.00,0.01,1.31,0.67,0.99,1.11,0.13,0.00,0.24,0.00,1.70
ME1 0,0.42,0.00,0.01,0.25,0.10,0.45,0.02,0.06,0.00,0.15,0.00,0.36
MK1 0,1.78,0.11,0.12,0.29,0.26,0.75,0.04,0.09,0.00,0.08,0.00,1.37
NL1 0,16.37,0.00,0.01,1.94,2.41,4.69,1.50,0.41,0.00,0.19,0.08,7.79
NL1 1,103.99,0.78,0.84,4.20,27.00,49.77,8.14,6.96,0.00,1.24,1.41,26.46
NO2 0,19.56,0.40,0.82,7.91,7.30,21.87,0.89,11.28,0.00,6.21,0.37,17.47
PL1 0,23.64,0.02,0.33,6.61,6.33,4.59,3.54,1.86,0.00,2.26,0.06,11.53
PL1 1,15.45,0.01,0.14,2.75,3.35,3.26,1.96,1.22,0.00,0.35,0.04,7.05
PL1 2,19.11,0.00,0.29,8.45,4.63,3.27,3.29,2.06,0.00,0.88,0.07,8.98
PL1 3,47.86,0.55,0.98,6.73,10.80,7.88,4.05,1.16,0.00,6.40,0.04,18.86
PL1 4,6.83,0.03,0.11,1.86,1.54,1.35,0.96,0.77,0.00,0.05,0.03,3.07
PT1 0,29.05,0.00,0.07,4.79,5.79,7.06,2.04,1.54,0.00,2.77,0.07,15.48
RO1 0,50.88,0.37,0.52,3.37,9.42,9.47,2.95,2.66,0.00,5.81,0.32,20.53
RS1 0,11.36,0.25,0.34,3.99,2.65,5.33,0.48,3.95,0.00,0.51,0.13,9.97
SE2 0,75.86,0.18,0.29,17.23,9.76,10.65,5.01,3.75,0.00,2.86,0.45,50.28
SI1 0,12.20,0.00,0.03,0.75,0.93,1.96,0.85,0.31,0.00,1.71,0.05,6.20
SK1 0,22.27,0.52,0.61,5.56,4.58,8.68,1.79,0.91,0.00,2.99,0.01,11.61
